Tamanho,TempoConstrucao(ms),BuscaExistente(ns),BuscaInexistente(ns),RemocaoExistente(ns),RemocaoInexistente(ns)
10000000,26918,2040,1953,3981,1769
10000000,23930,2585,2500,3802,2498
10000000,25086,2828,2237,5132,2084
10000000,23324,3334,1496,4135,1875
10000000,23844,2614,1930,4221,1847
10000000,26369,2067,2364,4936,2158
10000000,24797,2223,2412,4525,2575
10000000,25114,2489,2639,4312,2202
10000000,25649,2535,2398,3610,2504
10000000,25475,1635,2769,3119,2502
10000000,24452,2623,2001,4161,1804
10000000,26719,2878,2530,3929,1736
10000000,23891,2846,2363,4397,2091
10000000,25228,2485,1635,5653,2546
10000000,25066,2761,2600,4438,2848
10000000,25180,2852,2028,3778,2345
10000000,25437,2828,2465,4954,2363
10000000,23650,2404,1865,4205,1787
10000000,24178,2317,2327,4746,2674
10000000,25082,3115,2075,4626,1653
10000000,23999,2447,2616,4289,2087
10000000,23183,2714,1868,3971,1890
10000000,23951,2844,2554,4270,2544
10000000,23653,2581,2744,3444,1876
10000000,23772,13164,2728,2851,2596
10000000,23627,2969,2324,5485,4197
10000000,23373,1668,2235,4116,2307
10000000,24089,2432,3046,5709,2555
10000000,24284,2742,2098,4249,1486
10000000,23581,2187,2752,3604,2716
10000000,23821,1837,2256,3700,2110
10000000,23947,2664,1907,4190,1650
10000000,24042,1620,1956,4985,2794
10000000,23898,2331,2192,3686,2387
10000000,24463,2986,3141,4632,2927
10000000,23623,2435,2349,3984,2537
10000000,24294,2723,2369,4719,2076
10000000,23531,2540,2368,3497,3321
10000000,25015,2978,2050,4568,2698
10000000,24664,3195,2632,4617,2761
10000000,25450,2217,3009,3149,3423
10000000,24361,2170,2171,4142,1945
10000000,23728,2247,2396,4882,1836
10000000,24977,2034,2023,3417,2056
10000000,25448,2260,2383,4270,2352
10000000,24780,2888,2311,4244,2434
10000000,25427,3721,12217,5236,3743
10000000,23801,3056,2436,4166,2406
10000000,26399,2085,2645,4384,2096
10000000,24605,2368,1923,4127,1763
